entrez,GSM304508,GSM304509,GSM304510,GSM304511,GSM304512,GSM304513,GSM304514,GSM304515,GSM304516,GSM304517,GSM304518,GSM304519
TMPO,0.187013381,-0.016442467,0.035323829,-0.18529999,0.249539068,-0.038052276,-0.017741051,-0.202934268,-0.07919517,0.03697672,-0.279396986,-0.17324167
FOXE3,0.276859856,0.068654778,0.169185264,0.120465136,0.246914714,0.068051209,0.288658652,-0.076986912,-0.045036422,-0.004013223,0.449109387,0.004483855
NGFRAP1,0.078954336,-0.362127518,0.26539273,-0.309871168,0.208843146,-0.425814088,0.165414802,-0.349810173,0.070831501,-0.006313222,0.115727344,-0.367417553
HERC1,0.010788935,-0.014071962,0.150833374,0.07384008,0.097473212,-0.25713509,0.109478669,-0.045486336,-0.296809309,0.017283703,-0.184187789,0.124307436
LOC120379,-0.0331609,0.202185662,-0.005648628,0.17938201,-0.135630876,0.122931343,-0.130259664,0.007239507,-0.223073001,0.17102767,-0.079471544,2.049038427
TNFRSF25,0.07178006,-0.053196724,0.271987769,0.604104137,0.1516703,0.234591451,0.004606549,-0.079234877,-0.48980437,-0.060665518,-0.282657221,-0.198452815
SLC38A5,0.271303437,-0.222683784,-0.131054403,-0.162042659,0.141618961,-0.156860523,0.070043458,-0.350679547,-0.122325832,-0.166801142,0.069172002,-0.251401282
ZNF157,0.150357154,-0.123080678,-0.093753769,-0.153167978,0.050182525,-0.304009499,0.029749496,-0.240169901,-0.091502376,-0.070383156,0.029894069,-0.216851569
HSA9761,0.273267309,-0.027186039,0.267123461,-0.015540467,0.270269049,-0.118280094,0.062175275,-0.260523194,-0.134791015,-0.055646456,0.087909871,-0.143403749
CAMK2B,0.186818681,0.034410962,-0.31701841,0.36040665,0.39481863,0.321555161,0.0187628,-0.365793858,-0.173586353,0.127713422,-0.00871616,-0.28364073
NRP2,0.109228152,-0.078588058,0.11046622,-0.070575419,0.561355702,-0.134053618,0.135638366,-0.163571123,-0.080734397,-0.16103013,0.118145291,-0.100606011
ZMAT5,0.28716523,-0.006883107,-0.075099714,0.157325604,0.257171967,0.305486383,-0.045256065,-0.196468482,-0.277352589,-0.092537822,-0.074104521,0.048339202
UHMK1,0.077484025,-0.013628467,0.213610294,-0.003303947,0.132626699,-0.177399368,0.095953064,-0.201919509,-0.067405002,-0.101402947,0.1503635,-0.045659272
C6orf68,0.218755053,0.036647645,0.249989652,0.149976996,0.198200137,-0.024613578,0.108458272,-0.134537979,-0.197074333,-0.109088996,0.152790486,-0.144109577
FLJ22659,0.236116723,-0.141328101,0.204688783,0.095863006,0.255080655,-0.025324936,0.149150834,-0.236475294,0.000606636,-0.173806445,-0.051655534,-0.063178616
ARHGAP1,0.079513965,-0.347609753,0.236365843,-0.108961351,0.202783563,-0.334603208,0.04200996,-0.462150276,0.165887515,0.023632867,0.057640878,-0.324171554
DYSF,0.21609963,-0.092020532,8.74154e-05,0.00434757,0.272959286,-0.04348145,-0.135679318,-0.217038536,-0.184159884,-0.340963543,-0.050583988,-0.149457334
LRRC36,-0.000130447,0.140337983,-0.363104563,0.100368679,0.067832188,0.00849701,-0.180111117,-0.073070673,-0.224156028,0.021032636,-0.018833223,0.088633923
EXT1,0.225832308,-0.000230562,0.160779137,0.026125623,0.365303146,0.025416647,0.256113923,-0.201178521,-0.202964669,-0.290468639,0.163912138,-0.17446803
SOCS4,-0.004022901,0.039974942,0.028943965,0.027155192,0.201944218,-0.029886414,-0.090594364,-0.394797395,-0.122620192,0.045666912,-0.031137215,-0.131263147
XRCC1,0.033639547,-0.302353841,0.148455944,-0.182873095,0.225673491,-0.131826899,0.026916955,-0.426287448,-0.074387457,0.017748373,-0.144470703,-0.057380377
DNTTIP2,0.217232582,-0.001312046,0.393380834,0.181919646,0.227558457,-0.021622355,-0.001198966,-0.322987734,-0.279118413,-0.154689514,0.022295234,-0.158118849
GPR110,-0.450677014,0.695931771,-0.760566465,0.597709598,-0.220279549,0.814687677,-0.580684024,0.111373486,-0.362916191,0.378543521,-0.251712121,0.396740375
TBL1XR1,0.165262233,-0.306223563,-0.183621746,0.360387848,0.125929068,0.096144087,-0.315164611,-0.395508564,-0.161025625,-0.326911223,0.09657303,-0.288026929
PDIA2,-0.245914789,0.545457919,-0.526678378,0.705584811,-0.047542574,0.364279249,-0.332247936,-0.078182189,-0.655048158,0.150311053,-0.191375023,-0.093526985
LILRA5,0.422073447,-0.060612927,-0.222973429,0.131914894,0.759718563,0.107409151,-0.106597923,-0.641342195,0.07507495,-0.235760434,0.122392058,-0.618988059
PCSK9,0.149522904,-0.275719302,-0.455271116,-0.354500092,0.499462676,0.219545111,0.484374199,0.520278536,-0.222251996,-0.705425837,-0.115159224,0.050328883
GOSR1,-0.369411307,-0.297168823,0.105721251,0.509170035,-0.27054409,-0.005120915,-0.15073068,0.203676191,-0.310362779,-0.297489983,-0.383626711,0.194400114
UPF3B,-0.13929005,-0.155618025,0.048217291,0.760421982,-0.313823444,0.493788941,-0.467488799,-0.235876137,-0.273592216,-0.140013154,-0.607226143,-0.174786479
