Names	total	elements
		"KIAA0922"
		"SH3BGRL2"
		"CD276"
		"SHMT2"
		"PCDHB9"
		"SEC11B"
		"LOC100131316"
		"ASB1"
		"ARHGAP29"
		"HDAC1"
		"RPS6KB1"
		"LRPAP1"
		"TMEM66"
		"SPAG7"
		"DTX3L"
		"OR51A7"
		"DCC"
		"B4GALT4"
		"NEFL"
		"ITGB3BP"
		"LTA4H"
		"C9orf75"
		"ZNF696"
		"RPL7AP11"
		"NUDT14"
		"NRP2"
		"ANKRD46"
		"C17orf39"
		"SYCN"
		"SUPT4H1"
		"LOC645884"
		"FTH1"
		"CSNK1G1"
		"C14orf65"
		"TTR"
		"CACNG5"
		"STRBP"
		"TSGA14"
		"UBE2S"
		"ZDHHC11"
		"CREB3L2"
		"CMTM3"
		"NRN1"
		"VSIG1"
		"COL13A1"
		"METTL1"
		"SELENBP1"
		"P704P"
		"BDH2"
		"ELN"
		"FLJ33534"
		"SGOL1"
		"NARG1"
		"RCOR3"
		"PSMA4"
		"AP2A2"
		"XPO4"
		"SMC6"
		"SOCS6"
		"C4orf6"
		"CCND1"
		"SPRED2"
		"PDCD7"
		"TP53I11"
		"PABPC1"
		"KIAA1539"
		"DNM2"
		"OR8B8"
		"HS2ST1"
		"RXRB"
		"CUL7"
		"FNIP2"
		"FGFR2"
		"UBR7"
		"TNFSF15"
		"DIS3"
		"PI4KA"
		"LCLAT1"
		"TMEM185B"
		"POLR3G"
		"SLC25A5"
		"RNF169"
		"NAT9"
		"UBE2Z"
		"DIDO1"
		"AKAP10"
		"PCNX"
		"SLC7A6OS"
		"TRIM65"
		"SCAMP3"
		"LOC728264"
		"PI4K2B"
		"TMEM222"
		"PBX1"
		"FIP1L1"
		"C20orf117"
		"PITX1"
		"EHMT1"
		"ZNF343"
		"AMZ2"
		"HDAC5"
		"ANKRD5"
		"AR"
		"KRTAP1-1"
		"RSHL1"
		"ZNHIT6"
		"EPR1"
		"CD40"
		"FAM120C"
		"GPD1"
		"LOC349196"
		"FAM71D"
		"EFHA2"
		"FPGS"
		"LOC344328"
		"TCF19"
		"C9orf78"
		"AMY1C"
		"CDC42"
		"TSC22D4"
		"CTSB"
		"FLJ20184"
		"IGSF1"
		"VDAC1"
		"SP3P"
		"MLL"
		"C1orf100"
		"APP"
		"RP11-129H15.2"
		"FANCI"
		"TMEM26"
		"HISPPD1"
		"LOC157627"
		"AGXT"
		"LOC729970"
		"SMARCC2"
		"MAML3"
		"OXSR1"
		"PDHA1"
		"ZNF251"
		"RTN3"
		"C1orf21"
		"POLR3A"
		"STK35"
		"RAVER1"
		"NOL6"
		"EMILIN3"
		"C16orf68"
		"ZZZ3"
		"IP6K1"
		"GATC"
		"VTA1"
		"HIPK1"
		"PGRMC2"
		"RAD50"
		"C4orf23"
		"LOC151658"
		"LOC645294"
		"PLA2R1"
		"PCK2"
		"RPL28"
		"FAM108A1"
		"FBXO6"
		"HSPA4L"
		"NPL"
		"OSBPL3"
		"KIAA1549"
		"NUCB1"
		"PTX3"
		"CCNJ"
		"SLC35E1"
		"DCHS2"
		"FAM105B"
		"KIAA0368"
		"LHX3"
		"TRIM68"
		"ZNF461"
		"ARHGEF9"
		"GK2"
		"YBX1"
		"PCDH21"
		"MYLIP"
		"SLC25A35"
		"ADH1A"
		"N4BP3"
		"USP7"
		"KIR2DS4"
		"WDR40A"
		"KIAA1303"
		"TMEM175"
		"KCTD4"
		"C10orf95"
		"LOC389023"
		"FANCF"
		"BRP44L"
		"AGPAT2"
		"ZNF318"
		"CPEB3"
		"ATP10B"
		"PDXK"
		"GRIA4"
		"LDHA"
		"C16orf53"
		"CASP5"
		"TMTC3"
		"CCL5"
		"NOP56"
		"FAM53C"
		"NFE2L2"
		"C7"
		"CAV1"
		"RPL26"
		"LOC646791"
		"BTN1A1"
		"PRG4"
		"LOC399851"
		"HLA-DPB2"
		"GOLGB1"
		"UQCC"
		"BCL2"
		"ZFAND2B"
		"EPSTI1"
		"GPR64"
		"GUCY2C"
		"NUP50"
		"UNC93B1"
		"TMEM108"
		"C16orf80"
		"COG3"
		"C12orf10"
		"RHOXF2B"
		"FAM173B"
		"OSMR"
		"HMGN1"
		"CUTC"
		"MYOF"
		"EXOC1"
		"TBP"
		"WDR69"
		"EXOC6B"
		"TBC1D14"
		"KNCN"
		"LOC100132658"
		"DEK"
		"YOD1"
		"MACF1"
		"TCEAL5"
		"SFTA2"
